toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Snake Venom Serine Protease,Mixed,15.1,Multiple CDRs,C0HK19.1,9CLP_L,real
Snake Venom Serine Protease,Linear,6.11,Multiple CDRs,C0HLA3.1,9MIB_P,real
Three-Finger Toxin,Broad-spectrum,15.9,Multiple epitopes,SYN_TOX_3FTx_178,SYN_MAB_109_H,synthetic
Snake Venom Serine Protease,Mixed,12.77,CDR-H3,Q27J47.1,P00740.2,real
Phospholipase A2,Conformational,3.1,Multiple CDRs,AAB25792.1,P00740.2,real
Three-Finger Toxin,Specific,15.4,Loop II,SYN_TOX_3FTx_157,SYN_MAB_59_H,synthetic
Snake Venom Serine Protease,Linear,0.51,CDR-H3,P0C5B4.2,1CDR_A,real
Disintegrin,Linear,36.34,Multiple CDRs,AAB22477.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Conformational,1.47,CDR-H3,XP_070812689.1,9MIA_R,real
Three-Finger Toxin,Specific,3.3,Loop I,SYN_TOX_3FTx_108,SYN_MAB_68_H,synthetic
Snake Venom Metalloproteinase,Mixed,17.25,Multiple CDRs,P0C6R9.2,9CU6_F,real
Cysteine-Rich Secretory Protein,Conformational,9.76,CDR-H3,XP_026547749.1,9CU5_K,real
Snake Venom Metalloproteinase,Mixed,12.65,Multiple CDRs,C0HJU2.1,6ION_A,real
Snake Venom Serine Protease,Mixed,4.32,CDR-H3,A8QL53.1,8SXP_L,real
Snake Venom Metalloproteinase,Specific,15.1,Zinc Binding Site,SYN_TOX_SVMP_149,SYN_MAB_149_H,synthetic
Snake Venom Metalloproteinase,Conformational,26.99,CDR-H3,P0DM87.1,4V1D_D,real
Snake Venom Serine Protease,Mixed,13.91,Multiple CDRs,Q8UUJ1.2,4V1D_D,real
Cysteine-Rich Secretory Protein,Specific,25.3,CAP Domain,SYN_TOX_CRISP_119,SYN_MAB_127_H,synthetic
Snake Venom Serine Protease,Linear,20.31,CDR-H3,D8MIA2.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,3.25,Multiple CDRs,AAL54918.1,8SXP_L,real
Three-Finger Toxin,Specific,26.0,Loop II,SYN_TOX_3FTx_143,SYN_MAB_59_H,synthetic
Phospholipase A2,Conformational,4.73,Multiple CDRs,AAB24834.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Mixed,7.53,Multiple CDRs,AAL54918.1,Q9HCN6.4,real
Phospholipase A2,Linear,5.59,Multiple CDRs,XCA51249.1,4V1D_B,real
Phospholipase A2,Linear,26.81,CDR-H3,XCA51214.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Linear,16.56,Multiple CDRs,XP_013911763.1,9MI0_R,real
Snake Venom Serine Protease,Linear,4.45,CDR-H3,A0A1I9KNP0.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,9.15,CDR-H3,P81824.2,4V1D_B,real
Cysteine-Rich Secretory Protein,Linear,8.1,Multiple CDRs,XP_026568636.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,3.05,CDR-H3,AAP20602.1,8SXP_L,real
Snake Venom Metalloproteinase,Linear,6.41,Multiple CDRs,Q9PW36.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Specific,7.9,CAP Domain,SYN_TOX_CRISP_7,SYN_MAB_30_H,synthetic
Phospholipase A2,Mixed,5.35,CDR-H3,AAB26654.1,6ION_A,real
Snake Venom Metalloproteinase,Linear,5.46,Multiple CDRs,J3SBP9.1,8SXP_H,real
Snake Venom Metalloproteinase,Linear,1.27,CDR-H3,P0DM87.1,9CU6_G,real
Cysteine-Rich Secretory Protein,Conformational,1.63,CDR-H3,XP_026568636.1,9CU5_K,real
Cysteine-Rich Secretory Protein,Linear,23.09,Multiple CDRs,XP_026568634.1,4V1D_E,real
Three-Finger Toxin,Specific,28.1,Loop I,SYN_TOX_3FTx_38,SYN_MAB_132_H,synthetic
Phospholipase A2,Conformational,13.79,CDR-H3,AAB20783.1,6IOM_B,real
Snake Venom Serine Protease,Linear,4.9,CDR-H3,E5L0E6.1,9MIB_L,real
Snake Venom Metalloproteinase,Mixed,49.67,CDR-H3,F8RKW0.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,8.89,Multiple CDRs,A2TK72.1,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,3.68,Multiple CDRs,P0C7A9.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,24.35,CDR-H3,E0Y421.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,11.51,CDR-H3,C0L2T8.1,8SXP_L,real
Snake Venom Serine Protease,Broad-spectrum,268.0,Multiple epitopes,SYN_TOX_SVSP_179,SYN_MAB_40_H,synthetic
Snake Venom Serine Protease,Linear,4.28,CDR-H3,P85109.1,8TO9_I,real
Cysteine-Rich Secretory Protein,Linear,7.32,Multiple CDRs,XP_039204466.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Mixed,4.63,Multiple CDRs,XP_026568634.1,8TO9_C,real
Cysteine-Rich Secretory Protein,Conformational,1.54,CDR-H3,XP_034288380.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Linear,13.94,Multiple CDRs,XP_070812678.1,NP_000602.1,real
Snake Venom Serine Protease,Linear,58.98,Multiple CDRs,Q6T5L0.2,9CLP_H,real
Snake Venom Serine Protease,Mixed,10.54,Multiple CDRs,B0ZT25.1,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,1.28,Multiple CDRs,J3SDW8.1,NP_001424713.1,real
Snake Venom Serine Protease,Mixed,3.83,CDR-H3,P84787.1,4V1D_D,real
Snake Venom Serine Protease,Conformational,18.66,Multiple CDRs,Q8UUJ1.2,4V1D_A,real
Snake Venom Metalloproteinase,Broad-spectrum,141.7,Multiple epitopes,SYN_TOX_SVMP_163,SYN_MAB_56_H,synthetic
Snake Venom Metalloproteinase,Linear,10.75,Multiple CDRs,V5TBK6.1,9CU6_G,real
Snake Venom Serine Protease,Linear,16.16,CDR-H3,D8MIA1.1,1CDQ_A,real
Phospholipase A2,Conformational,21.42,Multiple CDRs,XCA51213.1,8SXP_H,real
Disintegrin,Mixed,3.26,Multiple CDRs,AAB22477.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Conformational,2.23,Multiple CDRs,Q698K8.3,6IOM_B,real
Snake Venom Serine Protease,Linear,5.1,Multiple CDRs,F8S114.1,9MIA_N,real
Cysteine-Rich Secretory Protein,Conformational,2.26,Multiple CDRs,XP_032069584.1,8SXP_L,real
Snake Venom Metalloproteinase,Mixed,10.11,Multiple CDRs,P0DQT6.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Specific,20.3,CAP Domain,SYN_TOX_CRISP_28,SYN_MAB_46_H,synthetic
Phospholipase A2,Linear,7.83,CDR-H3,XCA51353.1,9CLP_H,real
Snake Venom Metalloproteinase,Linear,8.66,CDR-H3,P0DL29.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Specific,20.6,CAP Domain,SYN_TOX_CRISP_84,SYN_MAB_74_H,synthetic
Snake Venom Metalloproteinase,Mixed,9.73,Multiple CDRs,C0HM67.1,6ION_A,real
Snake Venom Serine Protease,Conformational,4.3,CDR-H3,P84788.1,8SXP_H,real
Snake Venom Serine Protease,Mixed,34.19,CDR-H3,P81824.2,4V1D_D,real
Snake Venom Serine Protease,Mixed,8.05,CDR-H3,Q9YGJ9.1,9MII_L,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,40.5,Multiple epitopes,SYN_TOX_KSPI_117,SYN_MAB_109_H,synthetic
Snake Venom Metalloproteinase,Specific,23.1,Catalytic Domain,SYN_TOX_SVMP_156,SYN_MAB_65_H,synthetic
Snake Venom Serine Protease,Linear,5.96,Multiple CDRs,A7LAC7.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,6.39,CDR-H3,P84035.1,NP_001424713.1,real
Snake Venom Serine Protease,Linear,6.13,CDR-H3,E5L0E4.1,1CDS_A,real
Snake Venom Metalloproteinase,Linear,17.25,Multiple CDRs,J3S830.1,NP_001265043.1,real
Snake Venom Metalloproteinase,Linear,6.05,Multiple CDRs,Q9PW36.1,P00740.2,real
Phospholipase A2,Conformational,2.58,Multiple CDRs,XCA51213.1,9CU6_K,real
Kunitz-type Serine Protease Inhibitor,Specific,1.0,Inhibitory Loop,SYN_TOX_KSPI_103,SYN_MAB_47_H,synthetic
Snake Venom Serine Protease,Conformational,11.81,Multiple CDRs,B0FXM1.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,4.34,CDR-H3,U5PZ28.1,9CLP_H,real
Phospholipase A2,Mixed,9.24,CDR-H3,KAG5858194.1,8SXP_L,real
Disintegrin,Specific,22.4,C-terminal Region,SYN_TOX_DIS_153,SYN_MAB_3_H,synthetic
Three-Finger Toxin,Specific,10.9,Loop II,SYN_TOX_3FTx_38,SYN_MAB_130_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,276.5,Multiple epitopes,SYN_TOX_SVSP_102,SYN_MAB_134_H,synthetic
Cysteine-Rich Secretory Protein,Linear,5.34,Multiple CDRs,BAP39957.1,9CLP_C,real
Snake Venom Metalloproteinase,Broad-spectrum,183.6,Multiple epitopes,SYN_TOX_SVMP_44,SYN_MAB_55_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,140.4,Multiple epitopes,SYN_TOX_SVSP_74,SYN_MAB_119_H,synthetic
Phospholipase A2,Specific,16.2,Enzymatic Site,SYN_TOX_PLA2_197,SYN_MAB_45_H,synthetic
Phospholipase A2,Mixed,6.25,Multiple CDRs,XCA51213.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Mixed,12.96,Multiple CDRs,ATU85541.1,9CLP_L,real
Kunitz-type Serine Protease Inhibitor,Linear,6.26,CDR-H3,AEI52542.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,24.06,CDR-H3,P82942.1,1CDQ_A,real
Phospholipase A2,Mixed,49.92,Multiple CDRs,XCA51213.1,P00740.2,real
Phospholipase A2,Conformational,9.61,Multiple CDRs,XCA51370.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Conformational,6.06,CDR-H3,XP_039204466.1,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,5.53,Multiple CDRs,C0HM67.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Linear,44.06,Multiple CDRs,6IMF_A,8SXP_H,real
Snake Venom Serine Protease,Mixed,10.87,Multiple CDRs,P84787.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,3.82,CDR-H3,O42138.1,8SXP_L,real
Snake Venom Metalloproteinase,Conformational,8.69,Multiple CDRs,O42138.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,9.53,CDR-H3,Q5XUW8.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,1.34,Multiple CDRs,E0Y419.1,4V1D_E,real
Snake Venom Serine Protease,Conformational,13.06,CDR-H3,P81824.2,8SXP_H,real
Disintegrin,Conformational,4.13,CDR-H3,P34182.1,9B7V_L,real
Cysteine-Rich Secretory Protein,Linear,10.74,CDR-H3,XP_034288378.1,9MIA_R,real
Snake Venom Serine Protease,Linear,3.52,CDR-H3,P0CJ41.1,9CLP_L,real
Snake Venom Serine Protease,Broad-spectrum,146.7,Multiple epitopes,SYN_TOX_SVSP_60,SYN_MAB_75_H,synthetic
Snake Venom Metalloproteinase,Linear,5.11,Multiple CDRs,Q9W7S2.1,NP_001265043.1,real
Phospholipase A2,Conformational,1.62,CDR-H3,AAB28455.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Linear,2.44,Multiple CDRs,J3S830.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,3.16,CDR-H3,A8QL49.1,P13987.1,real
Snake Venom Serine Protease,Mixed,6.55,Multiple CDRs,Q9I8X1.2,6IOM_B,real
Snake Venom Metalloproteinase,Linear,4.91,Multiple CDRs,F8S108.1,9CLP_H,real
Disintegrin,Broad-spectrum,91.8,Multiple epitopes,SYN_TOX_DIS_76,SYN_MAB_117_H,synthetic
Snake Venom Serine Protease,Broad-spectrum,475.7,Multiple epitopes,SYN_TOX_SVSP_144,SYN_MAB_98_H,synthetic
Cysteine-Rich Secretory Protein,Linear,63.79,Multiple CDRs,XP_026547764.1,6IOM_A,real
Snake Venom Serine Protease,Linear,19.2,Multiple CDRs,E0Y418.1,1CDQ_A,real
Snake Venom Serine Protease,Mixed,3.95,Multiple CDRs,D8MIA2.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Specific,11.7,CAP Domain,SYN_TOX_CRISP_21,SYN_MAB_108_H,synthetic
Snake Venom Metalloproteinase,Conformational,15.54,CDR-H3,Q0NZX6.1,9CLP_H,real
Phospholipase A2,Mixed,1.39,CDR-H3,AAB28454.1,P13987.1,real
Phospholipase A2,Specific,1.9,Calcium Binding Loop,SYN_TOX_PLA2_43,SYN_MAB_141_H,synthetic
Snake Venom Serine Protease,Conformational,3.51,CDR-H3,A8QL53.1,9MI0_R,real
Snake Venom Metalloproteinase,Conformational,11.52,CDR-H3,F8RKW0.1,6IOM_A,real
Snake Venom Metalloproteinase,Linear,3.35,CDR-H3,J3SBP9.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Conformational,21.14,Multiple CDRs,Q0NZX6.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,5.0,CDR-H3,D8MIA1.1,6IOM_B,real
Disintegrin,Specific,16.6,C-terminal Region,SYN_TOX_DIS_195,SYN_MAB_135_H,synthetic
Snake Venom Serine Protease,Linear,13.07,Multiple CDRs,Q2PQJ3.1,6IOM_B,real
Snake Venom Serine Protease,Mixed,16.35,Multiple CDRs,B0FXM1.1,9MI0_R,real
Snake Venom Serine Protease,Linear,0.47,Multiple CDRs,A8QL53.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Mixed,12.1,CDR-H3,XP_026568636.1,1CDS_A,real
Snake Venom Metalloproteinase,Broad-spectrum,252.3,Multiple epitopes,SYN_TOX_SVMP_121,SYN_MAB_18_H,synthetic
Snake Venom Metalloproteinase,Mixed,6.89,Multiple CDRs,P82942.1,1CDS_A,real
Phospholipase A2,Mixed,9.67,Multiple CDRs,AAB33759.1,4V1D_E,real
Disintegrin,Linear,7.34,CDR-H3,ABD34834.1,NP_000602.1,real
Snake Venom Serine Protease,Mixed,2.82,Multiple CDRs,P85109.1,9MIB_L,real
Cysteine-Rich Secretory Protein,Linear,3.26,Multiple CDRs,XP_026547764.1,8TO9_B,real
Cysteine-Rich Secretory Protein,Conformational,49.85,Multiple CDRs,ATU85541.1,9MIB_L,real
Snake Venom Serine Protease,Mixed,6.08,CDR-H3,B5U6Y3.1,9MI0_H,real
Three-Finger Toxin,Broad-spectrum,8.6,Multiple epitopes,SYN_TOX_3FTx_24,SYN_MAB_43_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,11.74,Multiple CDRs,XP_034288380.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Conformational,28.54,CDR-H3,XP_015678374.1,9CLP_H,real
Snake Venom Serine Protease,Linear,0.48,Multiple CDRs,E5L0E4.1,9MI0_N,real
Snake Venom Serine Protease,Mixed,1.66,CDR-H3,P18965.2,1CDR_A,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,352.8,Multiple epitopes,SYN_TOX_KSPI_138,SYN_MAB_28_H,synthetic
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,368.3,Multiple epitopes,SYN_TOX_KSPI_54,SYN_MAB_40_H,synthetic
Phospholipase A2,Specific,23.4,Calcium Binding Loop,SYN_TOX_PLA2_183,SYN_MAB_21_H,synthetic
Phospholipase A2,Conformational,5.11,Multiple CDRs,XCA51353.1,1CDS_A,real
Snake Venom Serine Protease,Linear,2.2,CDR-H3,B5U6Y3.1,4V1D_D,real
Phospholipase A2,Mixed,33.5,CDR-H3,AAB24834.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,20.23,CDR-H3,P17347.3,1CDQ_A,real
Cysteine-Rich Secretory Protein,Linear,5.67,Multiple CDRs,AAL54896.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,47.0,Multiple CDRs,F8S114.1,9CLP_H,real
Snake Venom Metalloproteinase,Linear,2.44,Multiple CDRs,R4NNL0.1,9CLP_C,real
Snake Venom Serine Protease,Mixed,4.31,CDR-H3,P0DJ86.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,3.66,Multiple CDRs,XP_026547749.1,4V1D_A,real
Snake Venom Metalloproteinase,Conformational,10.25,CDR-H3,U5PZ28.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Mixed,28.29,Multiple CDRs,XP_013911763.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Linear,8.05,Multiple CDRs,XP_026546646.1,4V1D_A,real
Snake Venom Metalloproteinase,Conformational,7.15,Multiple CDRs,J3S830.1,8SXP_L,real
Snake Venom Serine Protease,Conformational,1.57,Multiple CDRs,O93421.2,6IOM_A,real
Cysteine-Rich Secretory Protein,Mixed,4.31,CDR-H3,XP_039190751.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,1.51,CDR-H3,B5U6Y3.1,6IOM_A,real
Phospholipase A2,Mixed,24.66,Multiple CDRs,AAB25792.1,6ION_A,real
Three-Finger Toxin,Broad-spectrum,11.1,Multiple epitopes,SYN_TOX_3FTx_143,SYN_MAB_107_H,synthetic
Snake Venom Metalloproteinase,Broad-spectrum,167.3,Multiple epitopes,SYN_TOX_SVMP_16,SYN_MAB_120_H,synthetic
Snake Venom Serine Protease,Linear,4.29,CDR-H3,P81824.2,1CDQ_A,real
Phospholipase A2,Mixed,1.14,CDR-H3,AAB33759.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,20.79,CDR-H3,Q6T5L0.2,1CDR_A,real
Snake Venom Metalloproteinase,Linear,3.8,CDR-H3,A8QL49.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Linear,2.37,CDR-H3,AAP20602.1,P13987.1,real
Snake Venom Serine Protease,Linear,12.43,CDR-H3,Q9PT51.1,9CLP_L,real
Snake Venom Serine Protease,Linear,30.17,Multiple CDRs,Q6T5L0.2,P00740.2,real
Snake Venom Serine Protease,Conformational,15.82,Multiple CDRs,Q9PT51.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Linear,2.95,Multiple CDRs,J3SDW8.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,2.93,CDR-H3,Q6T5L0.2,6IOM_B,real
Snake Venom Metalloproteinase,Conformational,2.87,CDR-H3,P0C6R9.2,Q9HCN6.4,real
Three-Finger Toxin,Broad-spectrum,301.3,Multiple epitopes,SYN_TOX_3FTx_108,SYN_MAB_91_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,7.52,CDR-H3,XP_026568634.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,3.7,CDR-H3,F8RKW1.1,6IOM_A,real
Snake Venom Metalloproteinase,Specific,35.6,Catalytic Domain,SYN_TOX_SVMP_184,SYN_MAB_92_H,synthetic
Snake Venom Metalloproteinase,Conformational,51.82,CDR-H3,A8QL49.1,P00740.2,real
Disintegrin,Specific,9.6,RGD Motif,SYN_TOX_DIS_153,SYN_MAB_128_H,synthetic
Snake Venom Serine Protease,Mixed,14.72,Multiple CDRs,D8MIA1.1,9MIB_K,real
Snake Venom Serine Protease,Conformational,2.96,CDR-H3,Q8UUJ1.2,P13987.1,real
Disintegrin,Mixed,7.4,Multiple CDRs,AAB22477.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Conformational,20.25,Multiple CDRs,XP_015678374.1,6IOM_A,real
Snake Venom Metalloproteinase,Mixed,3.56,Multiple CDRs,F8RKV9.1,9MI0_K,real
Snake Venom Metalloproteinase,Linear,15.52,CDR-H3,P0DQT6.1,NP_001265043.1,real
Snake Venom Metalloproteinase,Linear,0.48,CDR-H3,F8S108.1,P00740.2,real
Snake Venom Serine Protease,Specific,2.9,Exosite,SYN_TOX_SVSP_60,SYN_MAB_116_H,synthetic
Snake Venom Serine Protease,Linear,11.62,CDR-H3,A7LAC7.1,6ION_A,real
Kunitz-type Serine Protease Inhibitor,Specific,20.9,Inhibitory Loop,SYN_TOX_KSPI_61,SYN_MAB_47_H,synthetic
Snake Venom Serine Protease,Mixed,10.37,CDR-H3,O93421.2,4V1D_D,real
Snake Venom Serine Protease,Conformational,10.66,Multiple CDRs,C0HK19.1,4V1D_D,real
Snake Venom Metalloproteinase,Mixed,35.95,CDR-H3,P17347.3,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,6.47,Multiple CDRs,P0DM87.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Mixed,10.27,CDR-H3,XP_032069593.1,9MIH_L,real
Kunitz-type Serine Protease Inhibitor,Specific,2.4,Secondary Contact Site,SYN_TOX_KSPI_103,SYN_MAB_42_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,0.74,CDR-H3,CAP74089.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,6.65,Multiple CDRs,C0L2T8.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Mixed,2.54,CDR-H3,XP_070588618.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Linear,6.33,Multiple CDRs,XP_070812689.1,8TO9_A,real
Snake Venom Serine Protease,Mixed,11.06,CDR-H3,E0Y419.1,9MIB_R,real
Snake Venom Metalloproteinase,Linear,5.54,Multiple CDRs,A2TK72.1,9MIB_P,real
Cysteine-Rich Secretory Protein,Linear,11.83,Multiple CDRs,XP_026568634.1,P13987.1,real
Cysteine-Rich Secretory Protein,Conformational,11.01,Multiple CDRs,XP_034288380.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Conformational,33.65,Multiple CDRs,F8S108.1,9CLP_L,real
Phospholipase A2,Conformational,18.53,Multiple CDRs,AAB20783.1,P13987.1,real
Snake Venom Serine Protease,Conformational,13.03,CDR-H3,O93421.2,9CLP_H,real
Snake Venom Serine Protease,Linear,1.77,CDR-H3,B0FXM1.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,9.78,Multiple CDRs,KAG8124483.1,9CU6_E,real
Phospholipase A2,Specific,31.0,Hydrophobic Channel,SYN_TOX_PLA2_43,SYN_MAB_122_H,synthetic
Three-Finger Toxin,Broad-spectrum,140.2,Multiple epitopes,SYN_TOX_3FTx_115,SYN_MAB_111_H,synthetic
Cysteine-Rich Secretory Protein,Linear,15.18,Multiple CDRs,AAP20602.1,1CDR_A,real
Disintegrin,Linear,5.71,Multiple CDRs,P34182.1,4V1D_A,real
Snake Venom Serine Protease,Broad-spectrum,70.3,Multiple epitopes,SYN_TOX_SVSP_165,SYN_MAB_139_H,synthetic
Cysteine-Rich Secretory Protein,Broad-spectrum,139.6,Multiple epitopes,SYN_TOX_CRISP_119,SYN_MAB_109_H,synthetic
Snake Venom Metalloproteinase,Mixed,9.76,CDR-H3,F8RKW0.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,2.62,CDR-H3,B0FXM2.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,3.79,Multiple CDRs,Q5XUW8.1,NP_000602.1,real
Snake Venom Serine Protease,Conformational,37.27,CDR-H3,F8S114.1,4V1D_E,real
Disintegrin,Conformational,18.32,Multiple CDRs,ABD34834.1,9CLP_L,real
Three-Finger Toxin,Broad-spectrum,192.7,Multiple epitopes,SYN_TOX_3FTx_115,SYN_MAB_119_H,synthetic
Snake Venom Metalloproteinase,Linear,16.66,Multiple CDRs,P84035.1,9CLP_L,real
Disintegrin,Broad-spectrum,107.6,Multiple epitopes,SYN_TOX_DIS_167,SYN_MAB_28_H,synthetic
Snake Venom Serine Protease,Mixed,5.72,CDR-H3,P81824.2,8TO9_Z,real
Cysteine-Rich Secretory Protein,Specific,10.9,Ion Channel Binding Region,SYN_TOX_CRISP_21,SYN_MAB_48_H,synthetic
Snake Venom Serine Protease,Conformational,36.6,CDR-H3,B0FXM2.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,7.46,Multiple CDRs,Q2EI26.1,6IOM_B,real
Snake Venom Metalloproteinase,Conformational,14.79,CDR-H3,A3R0T9.1,NP_001424713.1,real
Snake Venom Serine Protease,Mixed,75.11,Multiple CDRs,E5L0E4.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Specific,5.3,Ion Channel Binding Region,SYN_TOX_CRISP_7,SYN_MAB_34_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,17.01,Multiple CDRs,XP_034288378.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,4.31,Multiple CDRs,XP_026568632.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,15.03,CDR-H3,P0DL29.1,9MIB_R,real
Phospholipase A2,Conformational,3.21,CDR-H3,AAB36472.1,9CLP_C,real
Phospholipase A2,Specific,3.8,Enzymatic Site,SYN_TOX_PLA2_50,SYN_MAB_45_H,synthetic
Phospholipase A2,Mixed,14.77,Multiple CDRs,AAB33760.1,4V1D_D,real
Disintegrin,Mixed,3.64,Multiple CDRs,AAB22477.1,8SXP_H,real
Phospholipase A2,Specific,2.7,Calcium Binding Loop,SYN_TOX_PLA2_29,SYN_MAB_141_H,synthetic
Snake Venom Metalloproteinase,Linear,8.55,Multiple CDRs,A2TK72.1,4V1D_D,real
Snake Venom Serine Protease,Linear,13.02,Multiple CDRs,P18965.2,NP_000602.1,real
Disintegrin,Conformational,9.19,CDR-H3,ABD34834.1,9CU5_J,real
Snake Venom Serine Protease,Mixed,145.14,CDR-H3,A8QL57.1,P00740.2,real
Snake Venom Serine Protease,Linear,20.71,Multiple CDRs,E0Y421.1,4V1D_B,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,369.1,Multiple epitopes,SYN_TOX_KSPI_12,SYN_MAB_119_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,2.65,CDR-H3,CAP74088.1,6IOM_A,real
Disintegrin,Mixed,39.79,CDR-H3,AAB22478.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Conformational,5.3,Multiple CDRs,XP_034288380.1,6IOM_B,real
Snake Venom Metalloproteinase,Broad-spectrum,233.2,Multiple epitopes,SYN_TOX_SVMP_149,SYN_MAB_28_H,synthetic
Snake Venom Serine Protease,Mixed,25.99,CDR-H3,P84788.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,22.89,Multiple CDRs,P0C6R9.2,NP_000602.1,real
Snake Venom Metalloproteinase,Linear,3.79,Multiple CDRs,J3SDW8.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Mixed,1.5,Multiple CDRs,AAP20602.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,28.79,CDR-H3,KAG8124480.1,6IOM_A,real
Phospholipase A2,Specific,10.2,Calcium Binding Loop,SYN_TOX_PLA2_162,SYN_MAB_2_H,synthetic
Snake Venom Metalloproteinase,Broad-spectrum,254.9,Multiple epitopes,SYN_TOX_SVMP_37,SYN_MAB_12_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,11.3,Multiple CDRs,BAP39957.1,4V1D_B,real
Snake Venom Serine Protease,Mixed,3.75,Multiple CDRs,P0C5B4.2,4V1D_D,real
Snake Venom Serine Protease,Specific,3.5,Exosite,SYN_TOX_SVSP_95,SYN_MAB_85_H,synthetic
Snake Venom Metalloproteinase,Mixed,36.06,Multiple CDRs,P0C6R9.2,9MIH_L,real
Snake Venom Serine Protease,Conformational,2.35,CDR-H3,Q8UUJ2.2,4V1D_D,real
Disintegrin,Linear,4.63,CDR-H3,ABD34835.1,9MI0_L,real
Snake Venom Serine Protease,Mixed,29.76,CDR-H3,P18965.2,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,8.12,CDR-H3,O57413.1,8TO9_Z,real
Disintegrin,Linear,13.14,Multiple CDRs,AAB22477.1,9CLP_C,real
